Segment,Control Renewal %,Treatment Renewal %,Lift (pp),Net Impact (NTD),Significant,Net Positive
Ever cancelled,58.32,71.93,13.61,48964,✓,✓
Tenure < 6 months,58.53,71.23,12.7,114638,✓,✓
Tenure 1-3 years,58.8,71.16,12.36,462218,✓,✓
Medium engagement,59.2,71.47,12.27,360803,✓,✓
Auto-renew ON,59.1,71.35,12.25,388642,✓,✓
Prob band 0.90-1.0,58.85,70.93,12.08,807236,✓,✓
Prob band 0.556-0.70,59.23,71.24,12.01,338173,✓,✓
Light engagement,58.89,70.84,11.96,522109,✓,✓
Never cancelled,59.14,71.04,11.9,1196356,✓,✓
Tenure 6-12 months,59.49,71.37,11.89,89866,✓,✓
Tenure 6+ years,59.3,71.19,11.89,191251,✓,✓
Heavy engagement,59.4,71.19,11.78,371153,✓,✓
Auto-renew OFF,59.1,70.85,11.75,845877,✓,✓
Prob band 0.70-0.90,59.38,71.11,11.73,118863,✓,✓
Tenure 3-6 years,59.31,70.83,11.51,326786,✓,✓
